,node,id3,id2
458,G08G,458,15
459,G01P,459,64
460,C05F,460,116
461,C01C,461,107
462,B62B,462,26
463,B23B,463,75
464,B60Q,464,89
465,G03B,465,59
466,D06C,466,62
467,A23P,467,100
468,C11D,468,49
469,B60G,469,89
470,C01G,470,107
471,C09J,471,63
472,B60B,472,89
473,B81C,473,32
474,G11C,474,66
475,F15B,475,35
476,B07B,476,25
477,A45C,477,50
478,D01F,478,83
479,H04Q,479,43
480,F42B,480,47
481,G06G,481,79
482,A61N,482,57
483,G02B,483,88
484,B23C,484,75
485,F16D,485,69
486,F16H,486,69
487,B60K,487,89
488,A61C,488,57
489,G06V,489,79
490,B01J,490,86
491,A44B,491,33
492,G03F,492,59
493,G05B,493,58
494,C10L,494,29
495,B25B,495,60
496,B60S,496,89
497,B25J,497,60
498,A01B,498,13
499,C07G,499,72
500,D06M,500,62
501,F28G,501,104
502,B23P,502,75
503,B05D,503,0
504,C08G,504,53
505,A23G,505,100
506,F04B,506,55
507,B61G,507,61
508,H02P,508,10
509,G02F,509,88
510,C07F,510,72
511,G01S,511,64
512,B66B,512,96
513,H05K,513,76
514,F16N,514,69
515,F02C,515,40
516,F24C,516,103
517,F04C,517,55
518,F23M,518,117
519,G21F,519,81
520,B01F,520,86
521,D21B,521,67
522,F16P,522,69
523,D01D,523,83
524,B01L,524,86
525,A63H,525,3
